Id,RouteId,ImageName,Distress_Class,BoundingBox,File_Path
5,17,2022_12_20_15_51_39_803862_RIM.jpg,Patching,"[558.0, -2.0, 257.0, 131.0]",Y:/LCMS_Data_21-12-22/B_Gachibowli_To_lingampalli\2022_12_20_entry__To__exit_Lane1_LHS//Processed_RIM//2022_12_20_15_51_39_803862_RIM.jpg
6,17,2022_12_20_15_51_39_803862_RIM.jpg,Patching,"[401.0, 0.0, 108.0, 130.0]",Y:/LCMS_Data_21-12-22/B_Gachibowli_To_lingampalli\2022_12_20_entry__To__exit_Lane1_LHS//Processed_RIM//2022_12_20_15_51_39_803862_RIM.jpg
9,18,2022_11_10_18_39_26_965643_RIM.jpg,Pothole,"[868.0, -2.0, 221.0, 70.0]",Y:/LCMS_Data_21-12-22/Filtered_for_labeling/cracks_1_data\2022_11_10_isb__To__inner_Lane1_LHS//Processed_RIM//2022_11_10_18_39_26_965643_RIM.jpg
11,18,2022_11_10_18_40_32_799495_RIM.jpg,"Alligator Cracking","[10.0, 1.0, 219.0, 59.0]",Y:/LCMS_Data_21-12-22/Filtered_for_labeling/cracks_1_data\2022_11_10_isb__To__inner_Lane1_LHS//Processed_RIM//2022_11_10_18_40_32_799495_RIM.jpg
12,18,2022_11_10_18_40_36_739951_RIM.jpg,"Alligator Cracking","[11.0, 2.0, 1544.0, 126.0]",Y:/LCMS_Data_21-12-22/Filtered_for_labeling/cracks_1_data\2022_11_10_isb__To__inner_Lane1_LHS//Processed_RIM//2022_11_10_18_40_36_739951_RIM.jpg
13,18,2022_11_10_18_40_40_945698_RIM.jpg,"Alligator Cracking","[887.0, 10.0, 670.0, 113.0]",Y:/LCMS_Data_21-12-22/Filtered_for_labeling/cracks_1_data\2022_11_10_isb__To__inner_Lane1_LHS//Processed_RIM//2022_11_10_18_40_40_945698_RIM.jpg
14,18,2022_11_10_18_40_44_838283_RIM.jpg,"Alligator Cracking","[12.0, 5.0, 823.0, 124.0]",Y:/LCMS_Data_21-12-22/Filtered_for_labeling/cracks_1_data\2022_11_10_isb__To__inner_Lane1_LHS//Processed_RIM//2022_11_10_18_40_44_838283_RIM.jpg
15,18,2022_11_10_18_40_44_838283_RIM.jpg,Pothole,"[1322.0, 50.0, 161.0, 83.0]",Y:/LCMS_Data_21-12-22/Filtered_for_labeling/cracks_1_data\2022_11_10_isb__To__inner_Lane1_LHS//Processed_RIM//2022_11_10_18_40_44_838283_RIM.jpg
16,18,2022_11_10_18_40_48_415711_RIM.jpg,"Alligator Cracking","[6.0, 2.0, 1554.0, 125.0]",Y:/LCMS_Data_21-12-22/Filtered_for_labeling/cracks_1_data\2022_11_10_isb__To__inner_Lane1_LHS//Processed_RIM//2022_11_10_18_40_48_415711_RIM.jpg
17,18,2022_11_10_18_40_51_879443_RIM.jpg,"Alligator Cracking","[399.0, 3.0, 1158.0, 130.0]",Y:/LCMS_Data_21-12-22/Filtered_for_labeling/cracks_1_data\2022_11_10_isb__To__inner_Lane1_LHS//Processed_RIM//2022_11_10_18_40_51_879443_RIM.jpg
18,18,2022_11_10_18_41_15_413475_RIM.jpg,"Alligator Cracking","[12.0, -2.0, 343.0, 135.0]",Y:/LCMS_Data_21-12-22/Filtered_for_labeling/cracks_1_data\2022_11_10_isb__To__inner_Lane1_LHS//Processed_RIM//2022_11_10_18_41_15_413475_RIM.jpg
19,18,2022_11_10_18_41_20_826990_RIM.jpg,"Alligator Cracking","[505.0, 69.0, 390.0, 60.0]",Y:/LCMS_Data_21-12-22/Filtered_for_labeling/cracks_1_data\2022_11_10_isb__To__inner_Lane1_LHS//Processed_RIM//2022_11_10_18_41_20_826990_RIM.jpg
22,18,2022_11_10_18_41_49_043493_RIM.jpg,"Alligator Cracking","[634.0, 13.0, 926.0, 80.0]",Y:/LCMS_Data_21-12-22/Filtered_for_labeling/cracks_1_data\2022_11_10_isb__To__inner_Lane1_LHS//Processed_RIM//2022_11_10_18_41_49_043493_RIM.jpg
25,18,2022_11_10_18_42_02_706934_RIM.jpg,"Alligator Cracking","[3.0, 2.0, 1042.0, 58.0]",Y:/LCMS_Data_21-12-22/Filtered_for_labeling/cracks_1_data\2022_11_10_isb__To__inner_Lane1_LHS//Processed_RIM//2022_11_10_18_42_02_706934_RIM.jpg
26,18,2022_11_10_18_42_04_802327_RIM.jpg,"Alligator Cracking","[548.0, 4.0, 1013.0, 63.0]",Y:/LCMS_Data_21-12-22/Filtered_for_labeling/cracks_1_data\2022_11_10_isb__To__inner_Lane1_LHS//Processed_RIM//2022_11_10_18_42_04_802327_RIM.jpg
